Benchmark,mem-addr IR,mrm-addr x86,LLFI Crash
O0-backprop,0.542,0.413,0.148
O1-backprop,0.328,0.164,0.111
O2-backprop,0.285,0.145,0.117
O3-backprop,0.255,0.136,0.099
O0-bfs,0.452,0.258,0.281
O1-bfs,0.200,0.077,0.294
O2-bfs,0.189,0.033,0.299
O3-bfs,0.184,0.030,0.330
O0-blackscholes,0.160,0.099,0.178
O1-blackscholes,0.099,0.056,0.079
O2-blackscholes,0.109,0.068,0.092
O3-blackscholes,0.100,0.050,0.088
O0-BT,0.682,0.679,0.416
O1-BT,0.185,0.008,0.175
O2-BT,0.222,0.000,0.152
O3-BT,0.200,0.001,0.143
O0-bzip2,0.336,0.111,0.530
O1-bzip2,0.307,0.107,0.592
O2-bzip2,0.295,0.029,0.700
O3-bzip2,0.300,0.027,0.708
O0-CG,0.593,0.006,0.407
O1-CG,0.343,0.001,0.342
O2-CG,0.338,0.007,0.354
O3-CG,0.304,0.007,0.306
O0-comd,0.616,0.454,0.507
O1-comd,0.282,0.136,0.439
O2-comd,0.269,0.084,0.296
O3-comd,0.284,0.139,0.306
O0-DC,0.514,0.359,0.461
O1-DC,0.210,0.014,0.349
O2-DC,0.195,0.025,0.362
O3-DC,0.237,0.021,0.386
O0-EP,0.164,0.125,0.121
O1-EP,0.084,0.000,0.119
O2-EP,0.099,0.000,0.111
O3-EP,0.070,0.000,0.105
O0-fluidanimate,0.422,0.152,0.355
O1-fluidanimate,0.327,0.018,0.271
O2-fluidanimate,0.113,0.051,0.114
O3-fluidanimate,0.118,0.030,0.128
O0-FT,0.292,0.649,0.488
O1-FT,0.204,0.049,0.350
O2-FT,0.215,0.062,0.339
O3-FT,0.187,0.034,0.351
O0-hmmer,0.684,0.458,0.454
O1-hmmer,0.296,0.140,0.268
O2-hmmer,0.283,0.133,0.250
O3-hmmer,0.315,0.029,0.273
O0-hpccg,0.544,0.373,0.300
O1-hpccg,0.348,0.009,0.333
O2-hpccg,0.336,0.021,0.327
O3-hpccg,0.352,0.008,0.310
O0-IS,0.382,0.336,0.387
O1-IS,0.390,0.316,0.437
O2-IS,0.392,0.301,0.426
O3-IS,0.407,0.386,0.443
O0-kmeans,0.536,0.363,0.547
O1-kmeans,0.162,0.009,0.367
O2-kmeans,0.166,0.019,0.362
O3-kmeans,0.186,0.028,0.371
O0-libquantum,0.471,0.322,0.381
O1-libquantum,0.098,0.009,0.204
O2-libquantum,0.107,0.007,0.189
O3-libquantum,0.116,0.004,0.214
O0-LU,0.716,0.862,0.595
O1-LU,0.240,0.016,0.222
O2-LU,0.228,0.008,0.184
O3-LU,0.233,0.012,0.193
O0-lud,0.580,0.287,0.316
O1-lud,0.488,0.003,0.370
O2-lud,0.447,0.003,0.348
O3-lud,0.468,0.000,0.378
O0-mcf,0.417,0.392,0.372
O1-mcf,0.339,0.577,0.607
O2-mcf,0.317,0.170,0.573
O3-mcf,0.341,0.146,0.599
O0-MG,0.808,0.688,0.585
O1-MG,0.241,0.057,0.340
O2-MG,0.363,0.052,0.360
O3-MG,0.361,0.053,0.378
O0-ocean,0.670,0.746,0.450
O1-ocean,0.269,0.000,0.223
O2-ocean,0.296,0.001,0.261
O3-ocean,0.307,0.002,0.235
O0-raytrace,0.466,0.275,0.443
O1-raytrace,0.274,0.033,0.309
O2-raytrace,0.306,0.044,0.328
O3-raytrace,0.315,0.044,0.319
O0-SP,0.766,0.750,0.501
O1-SP,0.247,0.018,0.251
O2-SP,0.273,0.000,0.212
O3-SP,0.280,0.003,0.214
O0-UA,0.721,0.656,0.492
O1-UA,0.258,0.095,0.362
O2-UA,0.400,0.073,0.327
O3-UA,0.380,0.057,0.309
O0-xsbench,0.419,0.435,0.377
O1-xsbench,0.311,0.614,0.224
O2-xsbench,0.309,0.581,0.073
O3-xsbench,0.305,0.585,0.074
